timestamp,cpu_perc,mem_usage,net_io,block_io,pids
2025-12-04T20:17:53+0100,3.78%,56.74MiB / 27.26GiB,5.12MB / 195kB,207MB / 0B,24
2025-12-04T20:17:57+0100,301.44%,193.2MiB / 27.26GiB,9.98MB / 324kB,212MB / 66.8MB,63
2025-12-04T20:17:59+0100,5.21%,201MiB / 27.26GiB,10MB / 335kB,213MB / 66.8MB,57
2025-12-04T20:18:02+0100,8.39%,210.1MiB / 27.26GiB,10.1MB / 350kB,213MB / 157MB,57
2025-12-04T20:18:04+0100,13.65%,220.6MiB / 27.26GiB,10.2MB / 366kB,213MB / 172MB,57
2025-12-04T20:18:07+0100,11.36%,230.8MiB / 27.26GiB,10.2MB / 381kB,213MB / 172MB,64
2025-12-04T20:18:09+0100,9.02%,246.8MiB / 27.26GiB,19.2MB / 674kB,213MB / 172MB,59
2025-12-04T20:18:13+0100,12.64%,270.7MiB / 27.26GiB,20.1MB / 709kB,213MB / 172MB,56
2025-12-04T20:18:15+0100,12.66%,277.7MiB / 27.26GiB,20.2MB / 728kB,213MB / 172MB,56
2025-12-04T20:18:18+0100,32.57%,283.6MiB / 27.26GiB,20.3MB / 752kB,213MB / 172MB,57
2025-12-04T20:18:20+0100,19.52%,287.2MiB / 27.26GiB,20.5MB / 776kB,213MB / 172MB,57
2025-12-04T20:18:23+0100,8.96%,279.4MiB / 27.26GiB,24.6MB / 914kB,213MB / 172MB,61
2025-12-04T20:18:26+0100,9.22%,279.6MiB / 27.26GiB,34.1MB / 1.29MB,213MB / 172MB,59
2025-12-04T20:18:29+0100,5.78%,286.8MiB / 27.26GiB,45.2MB / 1.7MB,213MB / 258MB,59
2025-12-04T20:18:31+0100,8.15%,280.8MiB / 27.26GiB,57.2MB / 2.15MB,213MB / 258MB,59
2025-12-04T20:18:34+0100,1.31%,280.6MiB / 27.26GiB,63.7MB / 2.38MB,213MB / 260MB,59
2025-12-04T20:18:36+0100,4.01%,280.7MiB / 27.26GiB,64.6MB / 2.41MB,213MB / 260MB,54
2025-12-04T20:18:39+0100,2.11%,282.2MiB / 27.26GiB,64.6MB / 2.43MB,213MB / 260MB,55
2025-12-04T20:18:42+0100,7.55%,282.4MiB / 27.26GiB,64.7MB / 2.44MB,213MB / 260MB,54
2025-12-04T20:18:45+0100,4.34%,282.9MiB / 27.26GiB,64.7MB / 2.45MB,213MB / 260MB,54
2025-12-04T20:18:47+0100,4.59%,283.5MiB / 27.26GiB,64.8MB / 2.46MB,213MB / 260MB,54
2025-12-04T20:18:50+0100,21.19%,294.4MiB / 27.26GiB,64.8MB / 2.47MB,213MB / 260MB,54
2025-12-04T20:18:52+0100,10.14%,296.7MiB / 27.26GiB,64.8MB / 2.48MB,213MB / 260MB,57
2025-12-04T20:18:55+0100,5.44%,297.4MiB / 27.26GiB,64.9MB / 2.5MB,213MB / 287MB,57
2025-12-04T20:18:58+0100,5.04%,297.9MiB / 27.26GiB,64.9MB / 2.51MB,213MB / 287MB,56
2025-12-04T20:19:00+0100,3.63%,298.4MiB / 27.26GiB,65MB / 2.52MB,213MB / 287MB,55
2025-12-04T20:19:03+0100,7.06%,298.4MiB / 27.26GiB,65MB / 2.53MB,213MB / 287MB,54
2025-12-04T20:19:05+0100,4.12%,299MiB / 27.26GiB,65.1MB / 2.55MB,213MB / 287MB,54
2025-12-04T20:19:08+0100,1.13%,299.2MiB / 27.26GiB,65.1MB / 2.56MB,213MB / 287MB,56
2025-12-04T20:19:11+0100,5.77%,299.9MiB / 27.26GiB,65.1MB / 2.57MB,213MB / 287MB,57
2025-12-04T20:19:13+0100,5.64%,303.3MiB / 27.26GiB,65.2MB / 2.58MB,213MB / 287MB,54
2025-12-04T20:19:16+0100,1.38%,297.3MiB / 27.26GiB,65.2MB / 2.59MB,213MB / 289MB,54
2025-12-04T20:19:18+0100,2.35%,297.4MiB / 27.26GiB,65.2MB / 2.61MB,213MB / 289MB,54
2025-12-04T20:19:21+0100,19.01%,299.2MiB / 27.26GiB,65.3MB / 2.63MB,213MB / 290MB,60
2025-12-04T20:19:23+0100,12.65%,299.6MiB / 27.26GiB,68.3MB / 2.77MB,213MB / 293MB,59
2025-12-04T20:19:26+0100,220.79%,180.8MiB / 27.26GiB,72.4MB / 2.93MB,213MB / 293MB,59
2025-12-04T20:19:29+0100,63.48%,214.9MiB / 27.26GiB,72.4MB / 2.93MB,213MB / 298MB,58
2025-12-04T20:19:32+0100,13.26%,227.2MiB / 27.26GiB,72.6MB / 2.95MB,213MB / 298MB,55
2025-12-04T20:19:34+0100,15.78%,239.1MiB / 27.26GiB,72.9MB / 2.97MB,213MB / 298MB,55
2025-12-04T20:19:37+0100,7.55%,250MiB / 27.26GiB,73.2MB / 3MB,213MB / 298MB,55
2025-12-04T20:19:39+0100,12.98%,262MiB / 27.26GiB,73.4MB / 3.02MB,213MB / 300MB,54
2025-12-04T20:19:42+0100,10.76%,276.9MiB / 27.26GiB,73.8MB / 3.05MB,213MB / 300MB,54
2025-12-04T20:19:45+0100,98.96%,313.2MiB / 27.26GiB,74.1MB / 3.07MB,213MB / 300MB,56
2025-12-04T20:19:47+0100,2.58%,304.7MiB / 27.26GiB,74.4MB / 3.09MB,213MB / 300MB,55
2025-12-04T20:19:50+0100,12.12%,304.9MiB / 27.26GiB,76.2MB / 3.15MB,213MB / 303MB,55
2025-12-04T20:19:52+0100,4.99%,306.1MiB / 27.26GiB,76.3MB / 3.16MB,213MB / 303MB,54
2025-12-04T20:19:55+0100,38.89%,310MiB / 27.26GiB,78.5MB / 3.24MB,213MB / 303MB,56
2025-12-04T20:19:58+0100,3.07%,309.9MiB / 27.26GiB,78.5MB / 3.25MB,213MB / 303MB,54
2025-12-04T20:20:00+0100,3.05%,316.5MiB / 27.26GiB,78.8MB / 3.27MB,213MB / 306MB,57
2025-12-04T20:20:03+0100,11.98%,317.9MiB / 27.26GiB,82.3MB / 3.39MB,213MB / 306MB,61
2025-12-04T20:20:05+0100,5.65%,317.8MiB / 27.26GiB,91.9MB / 3.65MB,213MB / 306MB,59
2025-12-04T20:20:08+0100,589.88%,381.2MiB / 27.26GiB,96.2MB / 3.79MB,213MB / 306MB,57
2025-12-04T20:20:11+0100,23.84%,381.8MiB / 27.26GiB,96.8MB / 3.82MB,213MB / 323MB,57
2025-12-04T20:20:13+0100,9.30%,374.8MiB / 27.26GiB,97.2MB / 3.85MB,213MB / 323MB,57
2025-12-04T20:20:16+0100,5.02%,404.7MiB / 27.26GiB,98.4MB / 3.91MB,213MB / 324MB,56
2025-12-04T20:20:18+0100,5.03%,408.4MiB / 27.26GiB,98.4MB / 3.92MB,213MB / 324MB,55
2025-12-04T20:20:21+0100,6.33%,416.2MiB / 27.26GiB,98.5MB / 3.93MB,213MB / 324MB,59
